selector, num_iters, interval_mean, cali_t_per_iter, weight_overhead, weight_cali, overhead_average, cali_t_average, weighted_overhead, weighted_cali, weighted_sum, num_nodes, prob, case_types_id, case_location_id, case_presence_id
minimal, 100, 6.02, 1009.71, 1e+05, 1, 0.166113, 167.7259, 16611.3, 167.7259, 16779.02, 5, 50, 1, 1, 1
all, 100, 18, 2573, 1e+05, 1, 0.05555556, 142.9444, 5555.556, 142.9444, 5698.5, 5, 50, 1, 1, 1
nodal, 100, 8.7, 931.72, 1e+05, 1, 0.1149425, 107.0943, 11494.25, 107.0943, 11601.35, 5, 50, 1, 1, 1
local, 100, 8.7, 931.72, 1e+05, 1, 0.1149425, 107.0943, 11494.25, 107.0943, 11601.35, 5, 50, 1, 1, 1
minimal, 100, 5.51, 773.62, 1e+05, 1, 0.1814882, 140.4029, 18148.82, 140.4029, 18289.22, 5, 50, 1, 1, 2
all, 100, 18, 2569, 1e+05, 1, 0.05555556, 142.7222, 5555.556, 142.7222, 5698.278, 5, 50, 1, 1, 2
nodal, 100, 8.7, 840.69, 1e+05, 1, 0.1149425, 96.63103, 11494.25, 96.63103, 11590.88, 5, 50, 1, 1, 2
local, 100, 8.7, 840.69, 1e+05, 1, 0.1149425, 96.63103, 11494.25, 96.63103, 11590.88, 5, 50, 1, 1, 2
minimal, 100, 5.51, 1424.39, 1e+05, 1, 0.1814882, 258.51, 18148.82, 258.51, 18407.33, 5, 50, 1, 1, 3
all, 100, 18, 2734, 1e+05, 1, 0.05555556, 151.8889, 5555.556, 151.8889, 5707.444, 5, 50, 1, 1, 3
nodal, 100, 11.34, 1558, 1e+05, 1, 0.08818342, 137.3898, 8818.342, 137.3898, 8955.732, 5, 50, 1, 1, 3
local, 100, 11.34, 1558, 1e+05, 1, 0.08818342, 137.3898, 8818.342, 137.3898, 8955.732, 5, 50, 1, 1, 3
minimal, 100, 5.51, 708.44, 1e+05, 1, 0.1814882, 128.5735, 18148.82, 128.5735, 18277.39, 5, 50, 1, 1, 4
all, 100, 18, 2683, 1e+05, 1, 0.05555556, 149.0556, 5555.556, 149.0556, 5704.611, 5, 50, 1, 1, 4
nodal, 100, 7.82, 689.59, 1e+05, 1, 0.1278772, 88.18286, 12787.72, 88.18286, 12875.91, 5, 50, 1, 1, 4
local, 100, 7.82, 689.59, 1e+05, 1, 0.1278772, 88.18286, 12787.72, 88.18286, 12875.91, 5, 50, 1, 1, 4
minimal, 100, 5.51, 904.91, 1e+05, 1, 0.1814882, 164.2305, 18148.82, 164.2305, 18313.05, 5, 50, 1, 1, 5
all, 100, 18, 2700, 1e+05, 1, 0.05555556, 150, 5555.556, 150, 5705.556, 5, 50, 1, 1, 5
nodal, 100, 8.7, 783.18, 1e+05, 1, 0.1149425, 90.02069, 11494.25, 90.02069, 11584.27, 5, 50, 1, 1, 5
local, 100, 8.7, 783.18, 1e+05, 1, 0.1149425, 90.02069, 11494.25, 90.02069, 11584.27, 5, 50, 1, 1, 5
minimal, 100, 6.02, 1009.71, 1e+05, 1, 0.166113, 167.7259, 16611.3, 167.7259, 16779.02, 5, 50, 1, 2, 1
all, 100, 18, 2573, 1e+05, 1, 0.05555556, 142.9444, 5555.556, 142.9444, 5698.5, 5, 50, 1, 2, 1
nodal, 100, 8.7, 931.72, 1e+05, 1, 0.1149425, 107.0943, 11494.25, 107.0943, 11601.35, 5, 50, 1, 2, 1
local, 100, 8.7, 931.72, 1e+05, 1, 0.1149425, 107.0943, 11494.25, 107.0943, 11601.35, 5, 50, 1, 2, 1
minimal, 100, 5.51, 773.62, 1e+05, 1, 0.1814882, 140.4029, 18148.82, 140.4029, 18289.22, 5, 50, 1, 2, 2
all, 100, 18, 2569, 1e+05, 1, 0.05555556, 142.7222, 5555.556, 142.7222, 5698.278, 5, 50, 1, 2, 2
nodal, 100, 8.7, 840.69, 1e+05, 1, 0.1149425, 96.63103, 11494.25, 96.63103, 11590.88, 5, 50, 1, 2, 2
local, 100, 8.7, 840.69, 1e+05, 1, 0.1149425, 96.63103, 11494.25, 96.63103, 11590.88, 5, 50, 1, 2, 2
minimal, 100, 5.51, 1424.39, 1e+05, 1, 0.1814882, 258.51, 18148.82, 258.51, 18407.33, 5, 50, 1, 2, 3
all, 100, 18, 2734, 1e+05, 1, 0.05555556, 151.8889, 5555.556, 151.8889, 5707.444, 5, 50, 1, 2, 3
nodal, 100, 11.34, 1558, 1e+05, 1, 0.08818342, 137.3898, 8818.342, 137.3898, 8955.732, 5, 50, 1, 2, 3
local, 100, 11.34, 1558, 1e+05, 1, 0.08818342, 137.3898, 8818.342, 137.3898, 8955.732, 5, 50, 1, 2, 3
minimal, 100, 5.51, 708.44, 1e+05, 1, 0.1814882, 128.5735, 18148.82, 128.5735, 18277.39, 5, 50, 1, 2, 4
all, 100, 18, 2683, 1e+05, 1, 0.05555556, 149.0556, 5555.556, 149.0556, 5704.611, 5, 50, 1, 2, 4
nodal, 100, 7.82, 689.59, 1e+05, 1, 0.1278772, 88.18286, 12787.72, 88.18286, 12875.91, 5, 50, 1, 2, 4
local, 100, 7.82, 689.59, 1e+05, 1, 0.1278772, 88.18286, 12787.72, 88.18286, 12875.91, 5, 50, 1, 2, 4
minimal, 100, 5.51, 904.91, 1e+05, 1, 0.1814882, 164.2305, 18148.82, 164.2305, 18313.05, 5, 50, 1, 2, 5
all, 100, 18, 2700, 1e+05, 1, 0.05555556, 150, 5555.556, 150, 5705.556, 5, 50, 1, 2, 5
nodal, 100, 8.7, 783.18, 1e+05, 1, 0.1149425, 90.02069, 11494.25, 90.02069, 11584.27, 5, 50, 1, 2, 5
local, 100, 8.7, 783.18, 1e+05, 1, 0.1149425, 90.02069, 11494.25, 90.02069, 11584.27, 5, 50, 1, 2, 5
minimal, 100, 6.67, 1152.82, 1e+05, 1, 0.149925, 172.8366, 14992.5, 172.8366, 15165.34, 5, 50, 2, 1, 1
